,sym_1,sym_2,spread,zscore
178,61.64,2.7769,8.013340270000008,1.4366051239513253
179,64.89,2.7686,11.42362738,1.8863999082065617
180,70.0,2.8629,14.712534070000011,2.102799596728383
181,70.16,2.9284,13.60761772,1.6574180961319651
182,76.13,2.8919,20.28249477,2.223604396843224
183,73.84,2.8181,19.417698230000013,1.7995405497338004
184,59.37,3.201,-2.4467517,-0.9400487557228708
185,68.31,3.41,2.4571030000000036,-0.34336846408037874
186,49.22,3.3346,-15.176794819999998,-2.158695426984858
187,50.74,2.6462,-0.36262053999999466,-0.5918670594455305
188,40.98,2.3764,-4.912323879999995,-1.0564950853374546
189,42.1,2.58,-7.724185999999996,-1.2532113830044227
190,46.73,2.6589,-4.617879129999999,-0.9311225052253255
191,47.77,2.2161,4.973341630000007,0.04777156302722922
192,41.29,2.5253,-7.477836009999997,-1.219310788937138
193,48.15,2.6324,-2.6861190799999974,-0.6732055644960032
194,48.17,2.9086,-8.00001061999999,-1.1069607888444868
195,55.83,3.0591,-3.2464214699999943,-0.5691328389371059
196,56.21,2.6778,4.497129740000005,0.22376961642299198
197,55.54,3.0357,-3.0845276899999945,-0.5140691966297088
198,54.62,3.2168,-7.5018765599999995,-0.8737464223690824
199,55.43,3.0302,-3.088313339999992,-0.3676446065546037
