,sym_1,sym_2,spread,zscore
0,10.19,0.483,0.8624489000000004,
1,10.21,0.4792,0.9558333600000015,
2,9.72,0.5103,-0.13476050999999778,
3,10.4,0.6148,-1.4728331599999986,
4,12.27,0.5548,1.5558688400000005,
5,12.39,0.5529,1.7125610700000031,
6,12.72,0.5128,2.8169602400000002,
7,12.62,0.4907,3.14374881,
8,12.79,0.4839,3.4450683699999995,
9,13.05,0.4853,3.678031990000001,
10,12.63,0.4529,3.8837310700000014,
11,10.49,0.5005,0.8244941500000014,
12,12.46,0.4663,3.4549542900000016,
13,10.66,0.5156,0.7028874800000029,
14,10.36,0.4768,1.1521814399999997,
15,9.63,0.4651,0.6481283300000005,
16,9.79,0.3957,2.14836031,
17,8.61,0.4202,0.4952236600000006,
18,9.53,0.5733,-1.5413976100000006,
19,14.13,0.5453,3.599329990000001,1.2156908614333584
20,13.35,0.6647,0.5135130100000023,-0.6429040707806017
21,17.0,0.6942,3.5938178599999997,1.1014588256223663
22,18.3,0.7248,4.302879840000003,1.358293961913745
23,18.4,0.7431,4.049475730000001,1.1437244161094815
24,18.97,0.816,3.2116528000000013,0.5690838050940774
25,22.17,0.7223,8.221159090000002,2.691830209821059
26,22.0,0.7474,7.566435420000003,1.9979078296427204
27,26.05,0.744,11.682095200000003,2.7302619184187527
28,24.31,0.6815,11.14907645,2.110666051983019
29,20.42,0.7889,5.184999870000002,0.405156971095923
30,16.3,0.8421,0.037617430000004504,-0.9607391981858737
31,18.7,0.8572,2.146010760000003,-0.4065435813941353
32,18.59,0.8206,2.742818980000001,-0.2313011037498929
33,14.35,0.8908,-2.852862359999998,-1.6249500116048876
34,15.72,0.8937,-1.5388662899999996,-1.2085704332659568
35,15.31,0.9246,-2.545597819999996,-1.3628922493593798
36,13.96,0.9589,-4.557989129999996,-1.6337068945918916
37,14.2,0.9212,-3.58993804,-1.3145261263279409
38,14.52,0.9532,-3.887912440000001,-1.3149804397717937
39,14.63,0.9599,-3.9073008299999987,-1.1930778150361865
40,14.92,0.9302,-3.0437433400000007,-0.9623951412583535
41,14.28,0.8528,-2.1890177600000005,-0.7308233242428899
42,13.7,0.9031,-3.740396269999998,-0.9355758324566272
43,14.3,0.8953,-2.9897650099999957,-0.7222862907812486
44,14.27,0.8842,-2.8054051399999977,-0.6276239862601357
45,14.0,0.9205,-3.77641985,-0.7293144613439313
46,14.58,0.9122,-3.0361327399999976,-0.5097761534391387
47,14.29,0.852,-2.163568399999999,-0.2310980745136192
48,13.78,0.9605,-4.7688878500000005,-1.0316824604250543
49,15.15,1.0076,-4.3084689199999975,-0.8702205415752071
50,15.62,0.9625,-2.9675112499999994,-0.14337682720055514
51,15.13,1.0194,-4.556346979999999,-0.9489504837617938
52,16.6,0.9665,-2.0647580499999982,1.3058533872480302
53,16.2,1.1036,-5.1123921199999955,-1.7335663895568663
54,18.87,1.1409,-3.162718529999996,0.32705807349508503
55,19.83,1.1867,-3.0871943900000005,0.4508404546929277
56,20.92,1.1389,-1.0740951299999963,2.2427241978061656
57,18.56,1.1867,-4.35719439,-0.9842420162633757
58,18.43,1.1643,-4.054612309999996,-0.6769310293265663
