,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
1318,LEVERUSDT,10000NFTUSDT,0.0101,-3.8941,-3.367,0.0888,3
134,1000XECUSDT,FXSUSDT,0.0049,-4.1159,-3.367,0.0033,3
270,ANKRUSDT,GPTUSDT,0.0363,-3.4577,-3.367,1.8442,3
1759,MAGICUSDT,SHIB1000USDT,0.0,-6.0599,-3.367,180.9351,3
1418,LEVERUSDT,IMXUSDT,0.0183,-3.7011,-3.367,0.0003,3
1386,LEVERUSDT,EGLDUSDT,0.0161,-3.744,-3.367,0.0,3
909,GMXUSDT,FETUSDT,0.0382,-3.4387,-3.367,163.9929,3
467,BLZUSDT,CKBUSDT,0.0048,-4.1225,-3.367,10.226,3
1437,LEVERUSDT,LQTYUSDT,0.0237,-3.6115,-3.367,0.0009,3
1147,JOEUSDT,GLMRUSDT,0.0,-13.3955,-3.367,0.1972,3
1275,KEYUSDT,BOBAUSDT,0.0294,-3.5346,-3.367,0.0082,3
1923,NKNUSDT,SSVUSDT,0.0239,-3.6086,-3.367,0.004,3
1268,KEYUSDT,API3USDT,0.0185,-3.696,-3.367,0.0016,3
1396,LEVERUSDT,FLOWUSDT,0.015,-3.7663,-3.367,0.0002,3
1756,MAGICUSDT,RUNEUSDT,0.0,-5.838,-3.367,0.1741,3
42,10000LADYSUSDT,GPTUSDT,0.001,-4.5538,-3.367,0.0085,3
1487,LEVERUSDT,TUSDT,0.0133,-3.8058,-3.367,0.0469,3
1399,LEVERUSDT,FXSUSDT,0.027,-3.566,-3.367,0.0001,3
1443,LEVERUSDT,MASKUSDT,0.0241,-3.6057,-3.367,0.0002,3
249,ALPHAUSDT,FXSUSDT,0.0001,-5.1384,-3.367,0.015,3
836,EOSUSDT,MAVUSDT,0.0051,-4.1046,-3.367,12.7131,2
1027,INJUSDT,WAVESUSDT,0.0452,-3.375,-3.367,0.0882,2
742,DODOUSDT,FXSUSDT,0.0008,-4.6187,-3.367,0.0112,2
1394,LEVERUSDT,FITFIUSDT,0.0183,-3.7001,-3.367,0.0253,2
629,CELRUSDT,GLMRUSDT,0.0376,-3.4445,-3.367,0.0402,2
1475,LEVERUSDT,SOLUSDT,0.0101,-3.895,-3.367,0.0,2
1187,JOEUSDT,MAGICUSDT,0.0,-8.0787,-3.367,0.0448,2
364,ASTRUSDT,SUSHIUSDT,0.0079,-3.972,-3.367,0.0184,2
1627,MAGICUSDT,APTUSDT,0.0,-5.9003,-3.367,0.125,2
1441,LEVERUSDT,MAGICUSDT,0.0337,-3.4857,-3.367,0.0002,2
1139,JOEUSDT,FITFIUSDT,0.0,-8.0642,-3.367,7.5614,2
498,BLZUSDT,GMTUSDT,0.0339,-3.4839,-3.367,0.0487,2
887,FXSUSDT,ICXUSDT,0.0201,-3.6688,-3.367,32.6828,1
886,FXSUSDT,BALUSDT,0.0182,-3.7032,-3.367,1.5512,1
1644,MAGICUSDT,BOBAUSDT,0.0,-5.8017,-3.367,2.0271,1
1343,LEVERUSDT,ASTRUSDT,0.0238,-3.6097,-3.367,0.0106,1
1379,LEVERUSDT,DGBUSDT,0.0266,-3.5714,-3.367,0.0798,1
454,BLZUSDT,BAKEUSDT,0.0198,-3.6735,-3.367,0.18,1
1402,LEVERUSDT,GLMRUSDT,0.0219,-3.6398,-3.367,0.0006,1
449,BLZUSDT,APTUSDT,0.0136,-3.7983,-3.367,0.0073,1
1397,LEVERUSDT,FLRUSDT,0.0102,-3.8902,-3.367,0.0548,1
1600,LTCUSDT,FETUSDT,0.0221,-3.6365,-3.367,394.2884,1
458,BLZUSDT,BOBAUSDT,0.0123,-3.831,-3.367,0.1266,1
1355,LEVERUSDT,BOBAUSDT,0.0314,-3.511,-3.367,0.0019,1
1384,LEVERUSDT,DYDXUSDT,0.0186,-3.6943,-3.367,0.0001,1
452,BLZUSDT,ASTRUSDT,0.0103,-3.8882,-3.367,0.7489,1
910,GMXUSDT,HNTUSDT,0.0297,-3.5321,-3.367,2.598,1
1347,LEVERUSDT,BAKEUSDT,0.0293,-3.537,-3.367,0.0027,1
1388,LEVERUSDT,ENSUSDT,0.01,-3.8975,-3.367,0.0,1
1334,LEVERUSDT,ALPHAUSDT,0.025,-3.5933,-3.367,0.0056,1
1223,JOEUSDT,STGUSDT,0.0,-8.185,-3.367,0.5762,1
402,BCHUSDT,LOOKSUSDT,0.0435,-3.3893,-3.367,207.8521,1
1405,LEVERUSDT,GPTUSDT,0.0262,-3.5764,-3.367,0.0246,1
1288,KEYUSDT,GPTUSDT,0.0184,-3.6985,-3.367,0.1134,1
101,1000FLOKIUSDT,GMXUSDT,0.0153,-3.7612,-3.367,0.0004,1
1966,PEOPLEUSDT,BTCUSDT,0.0195,-3.6783,-3.367,0.0,1
1286,KEYUSDT,FXSUSDT,0.0232,-3.6189,-3.367,0.0003,1
1500,LEVERUSDT,YGGUSDT,0.0194,-3.6812,-3.367,0.0003,1
1281,KEYUSDT,DGBUSDT,0.0053,-4.089,-3.367,0.3497,1
1279,KEYUSDT,CVXUSDT,0.0259,-3.5799,-3.367,0.0005,1
653,COMPUSDT,GMXUSDT,0.0006,-4.6853,-3.367,4.0187,1
1144,JOEUSDT,FXSUSDT,0.0,-13.3744,-3.367,0.0258,1
1273,KEYUSDT,BAKEUSDT,0.0144,-3.7812,-3.367,0.0117,1
1269,KEYUSDT,ASTRUSDT,0.0234,-3.6155,-3.367,0.0482,1
353,ASTRUSDT,1000LUNCUSDT,0.0102,-3.8916,-3.367,0.4144,1
512,BLZUSDT,IMXUSDT,0.0027,-4.289,-3.367,0.0239,1
1179,JOEUSDT,LINKUSDT,0.0,-12.9954,-3.367,0.0138,1
1447,LEVERUSDT,MINAUSDT,0.026,-3.5796,-3.367,0.001,1
1185,JOEUSDT,LTCUSDT,0.0,-13.3423,-3.367,0.0019,1
1244,JOEUSDT,XTZUSDT,0.0,-13.1031,-3.367,0.0907,1
184,AGIXUSDT,GMXUSDT,0.0136,-3.7985,-3.367,0.0047,1
1203,JOEUSDT,ORDIUSDT,0.0,-8.0622,-3.367,0.0338,1
1454,LEVERUSDT,OMGUSDT,0.0195,-3.6794,-3.367,0.0001,1
569,BLZUSDT,WOOUSDT,0.0136,-3.7986,-3.367,0.487,1
674,CRVUSDT,APTUSDT,0.044,-3.3852,-3.367,0.279,1
676,CRVUSDT,GMXUSDT,0.0179,-3.7083,-3.367,0.052,1
682,CRVUSDT,XTZUSDT,0.0315,-3.5101,-3.367,0.8067,1
1416,LEVERUSDT,IDUSDT,0.0169,-3.7266,-3.367,0.0031,1
1688,MAGICUSDT,FXSUSDT,0.0,-5.8288,-3.367,0.0746,1
1690,MAGICUSDT,GFTUSDT,0.0,-5.7819,-3.367,34.283,1
1691,MAGICUSDT,GLMRUSDT,0.0,-5.7897,-3.367,0.6361,1
1320,LEVERUSDT,1000BTTUSDT,0.0076,-3.9826,-3.367,0.9177,1
1694,MAGICUSDT,GPTUSDT,0.0,-5.7746,-3.367,31.2306,1
483,BLZUSDT,DYDXUSDT,0.0056,-4.0728,-3.367,0.0076,1
993,IDEXUSDT,DGBUSDT,0.0401,-3.421,-3.367,3.3791,1
1410,LEVERUSDT,HNTUSDT,0.0048,-4.1234,-3.367,0.0001,1
1413,LEVERUSDT,ICPUSDT,0.0184,-3.6978,-3.367,0.0,1
527,BLZUSDT,LINKUSDT,0.0001,-5.109,-3.367,0.0031,1
82,10000NFTUSDT,GMXUSDT,0.0097,-3.9079,-3.367,0.0002,1
760,DUSKUSDT,LTCUSDT,0.0109,-3.8713,-3.367,0.0017,1
234,ALGOUSDT,LINKUSDT,0.0119,-3.8427,-3.367,0.0487,1
730,DENTUSDT,GMXUSDT,0.0126,-3.8229,-3.367,0.0,1
339,ARBUSDT,MASKUSDT,0.0189,-3.6889,-3.367,0.156,1
1509,LINKUSDT,ONEUSDT,0.0368,-3.4529,-3.367,80.7466,1
1292,KEYUSDT,LITUSDT,0.029,-3.54,-3.367,0.0026,1
1434,LEVERUSDT,LITUSDT,0.0275,-3.5593,-3.367,0.0006,1
1508,LINKUSDT,ICPUSDT,0.0432,-3.3928,-3.367,0.4792,1
1735,MAGICUSDT,MINAUSDT,0.0,-5.7926,-3.367,1.1226,1
361,ASTRUSDT,HFTUSDT,0.0114,-3.8565,-3.367,0.1834,1
